PC   | Cmd  | XYZ | P    | R0   | R1   | R2   | R3   | ZCNO
-----------------------------------------------------------
000  | nop  | 000 | ---- | 0    | 0    | 0    | 0    | FFFF
001  | ldc  | 300 | 4095 | 0    | 0    | 0    | 4095 | FFTF
003  | ldd  | 200 | 2977 | 0    | 0    | 2977 | 4095 | FFTF
005  | ldr  | 130 | 3411 | 0    | 3411 | 2977 | 4095 | FFTF
006  | INi  | 000 | 5    | 5    | 3411 | 2977 | 4095 | FFTF
007  | sll  | 000 | ---- | 10   | 3411 | 2977 | 4095 | FFFF
008  | std  | 000 | 237  | 10   | 3411 | 2977 | 4095 | FFFF
00A  | srl  | 110 | ---- | 10   | 1705 | 2977 | 4095 | FTFF
00B  | str  | 120 | 2436 | 10   | 1705 | 2977 | 4095 | FTFF
00C  | sra  | 220 | ---- | 10   | 1705 | 3537 | 4095 | FTTF
00D  | std  | 200 | 857  | 10   | 1705 | 3537 | 4095 | FTTF
00F  | ldr  | 030 | 3411 | 3411 | 1705 | 3537 | 4095 | FTTF
010  | rol  | 000 | ---- | 2727 | 1705 | 3537 | 4095 | FFTF
011  | std  | 000 | 2110 | 2727 | 1705 | 3537 | 4095 | FFTF
013  | ldc  | 000 | 4095 | 4095 | 1705 | 3537 | 4095 | FFTF
015  | rolc | 000 | ---- | 4094 | 1705 | 3537 | 4095 | FTTF
016  | std  | 000 | 1776 | 4094 | 1705 | 3537 | 4095 | FTTF
018  | ldc  | 000 | 4091 | 4091 | 1705 | 3537 | 4095 | FTTF
01A  | ror  | 000 | ---- | 4093 | 1705 | 3537 | 4095 | FFTF
01B  | std  | 000 | 1350 | 4093 | 1705 | 3537 | 4095 | FFTF
01D  | ldd  | 000 | 690  | 690  | 1705 | 3537 | 4095 | FFFF
01F  | rorc | 000 | ---- | 345  | 1705 | 3537 | 4095 | FFFF
020  | str  | 030 | 3411 | 345  | 1705 | 3537 | 4095 | FFFF
021  | ldc  | 200 | 2048 | 345  | 1705 | 2048 | 4095 | FFTF
023  | INi  | 100 | 4095 | 345  | 4095 | 2048 | 4095 | FFTF
024  | INi  | 000 | 1024 | 1024 | 4095 | 2048 | 4095 | FFTF
025  | add  | 110 | ---- | 1024 | 1023 | 2048 | 4095 | FTFF
026  | sub  | 323 | ---- | 1024 | 1023 | 2048 | 2049 | FTTF
027  | OUTi | 300 | 2049 | 1024 | 1023 | 2048 | 2049 | FTTF
028  | OUTi | 200 | 2048 | 1024 | 1023 | 2048 | 2049 | FTTF
029  | OUTi | 100 | 1023 | 1024 | 1023 | 2048 | 2049 | FTTF
02A  | OUTi | 000 | 1024 | 1024 | 1023 | 2048 | 2049 | FTTF
02B  | ldd  | 300 | 0    | 1024 | 1023 | 2048 | 0    | TTFF
02D  | ldd  | 200 | 0    | 1024 | 1023 | 0    | 0    | TTFF
02F  | ldd  | 100 | 0    | 1024 | 0    | 0    | 0    | TTFF
031  | ldd  | 000 | 0    | 0    | 0    | 0    | 0    | TTFF
033  | stop | 000 | ---- | 0    | 0    | 0    | 0    | TTFF
----------------------------------------------------------
